drug,median_log1p_mag,mean_log1p_mag,std_log1p_mag,n_comparisons,rank,moa
Clobetasol propionate,1.9204333,1.8363525,0.685657,141,28,unclear
Ferulic acid,1.9118792,1.868084,0.25526443,141,29,Other TK inhibitor
Pitavastatin (Calcium),1.9099535,1.8554169,0.41860992,140,30,unclear
Binimetinib,1.9068121,1.8061821,0.5303363,285,31,MEK inhibitor
Digitoxin,1.889735,1.8265604,0.55308646,142,32,unclear
ML264,1.8847343,1.708638,0.5566118,143,33,unclear
Amsacrine,1.8846688,1.757483,0.57733256,192,34,DNA synthesis/repair inhibitor
Budesonide,1.8843441,1.7569867,0.55064726,144,35,Glucocorticoid receptor agonist
Methylprednisolone succinate,1.8769411,1.9793513,0.47630566,144,36,Glucocorticoid receptor agonist
Tirabrutinib,1.8702054,1.7850882,0.56814706,144,37,Other TK inhibitor
Lactate (calcium),1.868159,1.832027,0.3446722,144,38,unclear
Docetaxel,1.8611519,1.9262209,0.60341716,189,39,Microtubule inhibitor
Rutin (trihydrate),1.8454913,1.6898321,0.6598006,143,40,unclear
Irinotecan,1.8393494,1.7290915,0.51452065,143,41,DNA synthesis/repair inhibitor
Sonidegib,1.8190434,1.8311622,0.56882936,139,42,Sonic inhibitor
XRK3F2,1.8119434,1.6788199,0.78632754,141,43,unclear
Pasireotide (acetate),1.8010058,1.7034551,0.44876316,192,44,unclear
Bimiralisib,1.7922652,1.9023862,0.5616253,143,45,PI3K/AKT inhibitor
olaparib,1.789683,1.7386119,0.46202317,144,46,DNA synthesis/repair inhibitor
Cilostazol,1.7895743,1.6723106,0.5033536,143,47,unclear
Bimatoprost,1.7848611,1.7764388,0.44571292,192,48,unclear
Infigratinib,1.778698,1.732557,0.48639053,144,49,Other TK inhibitor
Tomivosertib,1.7776884,1.674215,0.46720833,144,50,Protein synthesis inhibitor
Ixazomib,1.7600708,1.7376058,0.42479727,141,51,Proteasome inhibitor
Ipatasertib,1.7583164,1.9004916,0.743907,143,52,PI3K/AKT inhibitor
9-ING-41,1.7503343,1.6812172,0.74869585,143,53,GSK3 inhibitor
Ixazomib citrate,1.7443562,1.6625439,0.75207454,142,54,Proteasome inhibitor
BI-78D3,1.7442541,1.8057278,0.59988993,143,55,Other MAPK inhibitor
PF-06260933,1.7243549,1.756365,0.42610812,141,56,Other MAPK inhibitor
palbociclib,1.7222613,1.6005378,0.48484573,140,57,CDK inhibitor
Ponatinib,1.7180021,1.6722339,0.5844931,144,58,Multi-TK inhibitor
Almonertinib (mesylate),1.7170022,1.6284443,0.44350186,191,59,EGFR/ERBB inhibitor
DTP3,1.7150822,1.6314741,0.38330537,143,60,unclear
LJI308,1.7146413,1.6049883,0.5831406,142,61,Other MAPK inhibitor
Temuterkib,1.7089866,1.7443651,0.54436076,143,62,Other MAPK inhibitor
AZD2858,1.7077751,1.5334873,0.51458293,136,63,GSK3 inhibitor
Bestatin (hydrochloride),1.7043849,1.7163523,0.36730006,143,64,unclear
Belumosudil (mesylate),1.7025435,1.627942,0.45846832,144,65,unclear
Lidocaine (hydrochloride),1.6944587,1.6227636,0.41678613,189,66,unclear
Pimitespib,1.6936805,1.6548214,0.4581355,142,67,unclear
8-Hydroxyquinoline,1.6911167,1.628507,0.35151452,192,68,unclear
Mitoxantrone (dihydrochloride),1.6889737,1.8129373,0.7850392,190,69,DNA synthesis/repair inhibitor
Ritonavir,1.6868861,1.5393181,0.5482798,192,70,unclear
Vinblastine (sulfate),1.6855146,1.6317139,0.44108084,191,71,Microtubule inhibitor
Ouabain (Octahydrate),1.6782014,1.7360786,0.49782112,143,72,unclear
Capmatinib,1.6779664,1.6298062,0.4414892,141,73,EGFR/ERBB inhibitor
MK-3903,1.6685872,1.6444548,0.51672584,142,74,unclear
Hydroxyfasudil,1.6678507,1.6574103,0.5811098,143,75,unclear
Sildenafil,1.6664798,1.6248379,0.29587588,142,76,unclear
Oleic acid,1.6644326,1.6132722,0.32916698,144,77,unclear
Oxaprozin,1.6592796,1.5871943,0.3701524,143,78,Cyclooxygenase inhibitor
Ropivacaine (hydrochloride monohydrate),1.6475499,1.5839831,0.31666708,190,79,unclear
Verapamil,1.6343857,1.518825,0.4512761,142,80,unclear
Gemcitabine,1.6327759,1.6048201,0.36532536,145,81,DNA synthesis/repair inhibitor
ERK5-IN-2,1.626409,1.6442646,0.58783096,143,82,Other MAPK inhibitor
Tazarotene,1.621179,1.5878253,0.4193493,144,83,Retinoic receptor agonist
DT-061,1.6188403,1.5662805,0.4712564,140,84,unclear
(S)-Crizotinib,1.6185461,1.5453997,0.55988353,143,85,unclear
vincristine,1.6171962,1.6601883,0.6569013,140,86,Microtubule inhibitor
Busulfan,1.6085997,1.5616666,0.36865625,192,87,DNA synthesis/repair inhibitor
Cabozantinib (S-malate),1.605741,1.5762047,0.32498243,142,88,Multi-TK inhibitor
Gallic acid (hydrate),1.6053487,1.5020794,0.47040063,192,89,Cyclooxygenase inhibitor
Mebendazole,1.6030924,1.5399451,0.420115,144,90,Microtubule inhibitor
Tofacitinib,1.602613,1.5518489,0.36655384,191,91,JAK/STAT inhibitor
Clofarabine,1.6023602,1.5354998,0.32007915,142,92,DNA synthesis/repair inhibitor
Paclitaxel,1.5998621,1.6147743,0.4368562,144,93,Microtubule inhibitor
crizotinib,1.592751,1.5352767,0.6067413,143,94,Multi-TK inhibitor
Tadalafil,1.592489,1.621357,0.6132086,142,95,unclear
Radotinib,1.5922744,1.5141125,0.5418686,190,96,Other TK inhibitor
Vitamin K4,1.5897357,1.557514,0.49049553,144,97,unclear
Vandetanib,1.5894737,1.5502611,0.32896283,143,98,Multi-TK inhibitor
Doxycycline (monohydrate),1.5836402,1.419464,0.55923295,141,99,unclear
Finasteride,1.5753179,1.5833529,0.326364,141,100,unclear
Belzutifan,1.5739731,1.5845575,0.39206922,103,101,unclear
c-Kit-IN-1,1.567718,1.6758873,0.6256273,142,102,Multi-TK inhibitor
Bentamapimod,1.5665743,1.5676895,0.49599427,143,103,Other MAPK inhibitor
SBI-0640756,1.5621775,1.5591948,0.5006134,95,104,Protein synthesis inhibitor
Pravastatin (sodium),1.5597702,1.5322022,0.48840013,191,105,unclear
Verteporfin,1.5565318,1.5506809,0.4422967,143,106,unclear
Piroxicam,1.5561466,1.5144031,0.3635941,144,107,Cyclooxygenase inhibitor
Trimetrexate,1.5485303,1.5044869,0.41374335,192,108,DNA synthesis/repair inhibitor
Posaconazole,1.5474333,1.5252578,0.349678,143,109,unclear
Trametinib (DMSO_TF solvate),1.5446334,1.554004,0.5620207,143,110,MEK inhibitor
Fumaric acid,1.5385795,1.4905683,0.5161136,191,111,unclear
Irinotecan (hydrochloride),1.5339527,1.4708917,0.4400682,191,112,DNA synthesis/repair inhibitor
ULK-101,1.5330036,1.5788133,0.68323416,141,113,unclear
Pemetrexed,1.5328732,1.5226971,0.31347254,140,114,DNA synthesis/repair inhibitor
Sodium Salicylate,1.5322793,1.5120864,0.4735795,192,115,Cyclooxygenase inhibitor
Canagliflozin (hemihydrate),1.5296404,1.4899026,0.3710645,140,116,Glucose transporter inhibitor
Megestrol,1.5285914,1.4415597,0.46303576,192,117,unclear
Salicylic acid,1.5207468,1.4607189,0.4458821,190,118,Cyclooxygenase inhibitor
Abemaciclib,1.5151056,1.507159,0.46483642,144,119,CDK inhibitor
Regorafenib,1.5129333,1.507118,0.50215656,191,120,Multi-TK inhibitor
Saquinavir,1.5077326,1.4437137,0.38189167,190,121,unclear
BI-3406,1.503383,1.452569,0.40332666,144,122,RAS inhibitor
Sulfisoxazole,1.4983258,1.48131,0.38806918,239,123,unclear
Everolimus,1.4975445,1.4719356,0.46110207,144,124,MTOR inhibitor
Neratinib (maleate),1.4951546,1.5088296,0.44887733,192,125,EGFR/ERBB inhibitor
Vemurafenib,1.494941,1.4736453,0.42319334,144,126,RAF inhibitor
Gemfibrozil,1.4906914,1.4589728,0.4347667,192,127,unclear
Lonafarnib,1.4901023,1.4627066,0.53155214,130,128,RAS inhibitor
NG25,1.4838846,1.4477123,0.558964,143,129,Other MAPK inhibitor
Neratinib,1.4814663,1.4625947,0.42939916,142,130,EGFR/ERBB inhibitor
Resveratrol,1.4766062,1.4212852,0.46114746,191,131,unclear
Erdafitinib,1.4765664,1.3711082,0.42782193,96,132,Other TK inhibitor
Nafamostat (mesylate),1.4763503,1.4149797,0.37443247,143,133,unclear
Medroxyprogesterone acetate,1.471746,1.4509768,0.5227553,192,134,unclear
Afatinib,1.4703867,1.4863795,0.50463253,334,135,EGFR/ERBB inhibitor
Dabrafenib,1.4604967,1.4676927,0.5534794,144,136,RAF inhibitor
Torkinib,1.4601294,1.4002289,0.4503693,139,137,MTOR inhibitor
Estrone sulfate (potassium),1.4590244,1.462675,0.30403233,143,138,unclear
Sacubitril/Valsartan,1.4579328,1.4242861,0.4593061,143,139,unclear
Darinaparsin,1.4516687,1.3804785,0.44077003,190,140,unclear
Roxadustat,1.4438992,1.4595529,0.4804089,141,141,unclear
Altretamine,1.4415541,1.4394248,0.33404353,142,142,DNA synthesis/repair inhibitor
Rucaparib (phosphate),1.4403411,1.4120344,0.4053929,144,143,DNA synthesis/repair inhibitor
Trifluridine,1.4374483,1.4051021,0.39404017,192,144,DNA synthesis/repair inhibitor
Bicalutamide,1.4354973,1.3375367,0.47898373,144,145,Androgen receptor antagonist
Bisoprolol (hemifumarate),1.4322546,1.383099,0.4165727,141,146,Adrenoceptor agonist
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",1.4263785,1.3632139,0.4484448,140,147,Glucose transporter inhibitor
Erythromycin,1.4260399,1.3573456,0.46850112,144,148,unclear
Dimethyl fumarate,1.4259306,1.4842186,0.46665534,143,149,unclear
AZD-8055,1.4249723,1.3918327,0.4095349,144,150,MTOR inhibitor
Orlistat,1.4219768,1.3545396,0.4374125,142,151,unclear
Glycyrrhizic acid,1.4192076,1.4026325,0.41793817,141,152,unclear
Pentamidine (isethionate),1.4179653,1.3721159,0.38616163,237,153,unclear
Ligustrazine,1.4177111,1.3243982,0.5098459,141,154,unclear
Celecoxib,1.4173625,1.5572896,0.751599,142,155,Cyclooxygenase inhibitor
CP21R7,1.4149141,1.4879614,0.53093773,140,156,GSK3 inhibitor
Mozavaptan,1.4080057,1.3411334,0.34556478,141,157,unclear
Berberine (chloride hydrate),1.4066703,1.3365246,0.41186398,192,158,unclear
Betamethasone dipropionate,1.4035667,1.4044682,0.53446907,141,159,Glucocorticoid receptor agonist
Hydroxyurea,1.3935833,1.482699,0.51873344,139,160,DNA synthesis/repair inhibitor
Fedratinib (hydrochloride hydrate),1.3935432,1.4739659,0.48572698,144,161,JAK/STAT inhibitor
Berbamine,1.3929377,1.3690757,0.41413254,240,162,unclear
Sulfatinib,1.391058,1.2841148,0.44352874,142,163,Multi-TK inhibitor
Ralimetinib dimesylate,1.3885107,1.5610259,0.60436714,142,164,Other MAPK inhibitor
Edoxaban (tosylate monohydrate),1.3841918,1.3298918,0.37566015,48,165,unclear
Malotilate,1.3833306,1.3746735,0.46365535,192,166,unclear
Trametinib,1.3746873,1.4975028,0.59783745,286,167,MEK inhibitor
Omeprazole,1.3740693,1.2525148,0.49384224,143,168,unclear
Elagolix sodium,1.3736174,1.3594568,0.42504185,191,169,unclear
Flumatinib (mesylate),1.3687377,1.3353317,0.4036263,190,170,Other TK inhibitor
Azithromycin (hydrate),1.3588606,1.3076394,0.4784704,192,171,unclear
Idoxuridine,1.3577268,1.3405904,0.39704028,144,172,DNA synthesis/repair inhibitor
Pyridoxine (hydrochloride),1.3567989,1.3258058,0.41967642,192,173,unclear
Mifepristone,1.355571,1.3443587,0.39337388,142,174,unclear
AZD1390,1.3548048,1.3538592,0.42031047,142,175,unclear
Epirubicin (hydrochloride),1.3539732,1.712063,0.9344934,141,176,DNA synthesis/repair inhibitor
Tirabrutinib (hydrochloride),1.3536379,1.3478642,0.36696902,144,177,Other TK inhibitor
Peretinoin,1.34682,1.3669592,0.47424123,142,178,Retinoic receptor agonist
Doxorubicin (hydrochloride),1.3456793,1.5834397,0.83996147,142,179,DNA synthesis/repair inhibitor
Atazanavir (sulfate),1.3455057,1.3303701,0.30381402,144,180,unclear
Cytarabine (hydrochloride),1.3447825,1.3685,0.43421903,141,181,DNA synthesis/repair inhibitor
Cytarabine,1.3441126,1.313276,0.5131685,190,182,DNA synthesis/repair inhibitor
Triamcinolone,1.3395367,1.3408918,0.5139696,192,183,Glucocorticoid receptor agonist
Chlorhexidine (diacetate),1.3385918,1.3705872,0.4995892,240,184,unclear
Decitabine,1.3380206,1.4237536,0.5851394,141,185,DNA methyltransferase inhibitor
Artemether,1.3346076,1.3351032,0.40841323,144,186,unclear
Hexylresorcinol,1.3303502,1.3320881,0.43474042,192,187,unclear
RMC-6236,1.3283184,1.4247608,0.49841842,144,188,RAS inhibitor
Encorafenib,1.327418,1.3500705,0.49006256,96,189,RAF inhibitor
Asciminib,1.3254665,1.2694083,0.44918793,143,190,Other TK inhibitor
18β-Glycyrrhetinic acid,1.3230568,1.3036791,0.3731686,192,191,unclear
AT7519,1.3208246,1.265774,0.35817724,143,192,CDK inhibitor
Darolutamide,1.3202004,1.3366592,0.42399094,144,193,Androgen receptor antagonist
Bestatin,1.3201089,1.2715555,0.4078126,142,194,unclear
Vilanterol,1.3193163,1.2685938,0.44065344,190,195,Adrenoceptor agonist
Tetracycline (hydrochloride),1.3125086,1.2715555,0.35961264,143,196,unclear
Diammonium Glycyrrhizinate,1.3112869,1.248217,0.40469918,192,197,unclear
Tranilast,1.3112738,1.2572522,0.39041027,143,198,unclear
Quinidine (15% dihydroquinidine),1.3037984,1.2823689,0.42743158,143,199,unclear
Imiquimod (hydrochloride),1.3007647,1.2519114,0.5548415,142,200,unclear
Citalopram (hydrobromide),1.29528,1.3069354,0.43151724,143,201,unclear
Lopinavir,1.2940538,1.2715714,0.30148712,142,202,unclear
Belumosudil,1.2939117,1.3259937,0.5380302,190,203,unclear
Procainamide (hydrochloride),1.2911438,1.3141333,0.4838586,141,204,DNA methyltransferase inhibitor
Methyl aminolevulinate (hydrochloride),1.2877969,1.2838483,0.38946486,144,205,unclear
Entecavir (monohydrate),1.2824363,1.2803223,0.39428416,143,206,unclear
Almonertinib (hydrochloride),1.2822016,1.240095,0.39198795,192,207,EGFR/ERBB inhibitor
Acetohexamide,1.2821789,1.2979299,0.48373842,191,208,unclear
Abiraterone acetate,1.2815115,1.2951474,0.4294132,144,209,unclear
Lenalidomide (hemihydrate),1.2803864,1.2489961,0.39136434,191,210,unclear
Phenytoin (sodium),1.2767079,1.3168114,0.40847066,141,211,unclear
Bosentan (hydrate),1.2755429,1.2872711,0.35389888,141,212,unclear
Anethole trithione,1.2741833,1.2535058,0.3971423,192,213,unclear
LB-100,1.2727273,1.2825595,0.51876503,144,214,unclear
Palmatine (chloride),1.2702634,1.3092586,0.433944,192,215,unclear
Triclosan,1.2689285,1.2557687,0.39851862,192,216,unclear
4EGI-1,1.2689282,1.2796074,0.4407695,141,217,Protein synthesis inhibitor
Futibatinib,1.2674328,1.3079921,0.542321,141,218,Other TK inhibitor
Dorzolamide (hydrochloride),1.2673775,1.2661515,0.40322646,143,219,unclear
Fenofibrate,1.2663431,1.3861042,0.6902288,143,220,unclear
Lapatinib ditosylate,1.2618358,1.2453694,0.42130315,143,221,EGFR/ERBB inhibitor
Retinoic acid,1.2586519,1.3255614,0.46435905,192,222,Retinoic receptor agonist
Norepinephrine (hydrochloride),1.2572865,1.2754849,0.37094077,192,223,Adrenoceptor agonist
Brimonidine,1.257108,1.2177958,0.33092368,143,224,Adrenoceptor agonist
TAK-733,1.253533,1.3417599,0.61401635,141,225,MEK inhibitor
Filgotinib,1.2503397,1.2066826,0.43924102,144,226,JAK/STAT inhibitor
Cobimetinib,1.2481096,1.2540165,0.46630028,141,227,MEK inhibitor
Bendamustine,1.247808,1.25551,0.41331577,143,228,DNA synthesis/repair inhibitor
L-Eflornithine (monohydrochloride),1.2437217,1.2399276,0.36979616,143,229,unclear
Sinomenine,1.2420375,1.2289945,0.39241353,192,230,unclear
Sivelestat (sodium tetrahydrate),1.241564,1.3420728,0.53930205,143,231,unclear
Rimonabant (Hydrochloride),1.2405353,1.1977279,0.41753912,48,232,unclear
