drug,plate,cell_line,magnitude,log1p_magnitude
Tolcapone,5,Hs 766T,2.518061,1.25791
Triamcinolone,5,Hs 766T,3.0579188,1.4006702
Triclosan,5,Hs 766T,4.1512365,1.6392368
Trifluridine,5,Hs 766T,3.3605604,1.4726006
Trimetrexate,5,Hs 766T,4.569578,1.7173193
Tucidinostat,5,Hs 766T,5.705518,1.9029307
Vilanterol,5,Hs 766T,3.8496926,1.5789154
Vinblastine (sulfate),5,Hs 766T,4.541693,1.7123001
(R)-Verapamil (hydrochloride),5,J82,5.6117206,1.8888439
18β-Glycyrrhetinic acid,5,J82,4.0454206,1.618481
8-Hydroxyquinoline,5,J82,5.127412,1.8127725
Acetohexamide,5,J82,5.906287,1.9324322
Adagrasib,5,J82,3.1516013,1.4234941
Adenine,5,J82,2.707614,1.3103886
Adenosine,5,J82,0.77370244,0.57306916
Aliskiren,5,J82,4.3714056,1.6810896
Allantoin,5,J82,3.858511,1.580732
Almonertinib (hydrochloride),5,J82,4.4504437,1.6956971
Amsacrine,5,J82,8.550057,2.2565472
Anethole trithione,5,J82,1.8241237,1.0381981
Artesunate,5,J82,0.8122839,0.59458786
Azithromycin (hydrate),5,J82,3.2271745,1.4415338
Baicalin,5,J82,5.390462,1.8548065
Balsalazide (sodium hydrate),5,J82,3.2723014,1.4521526
Berbamine,5,J82,4.1314263,1.6353836
Berberine (chloride hydrate),5,J82,4.7671485,1.7521777
Bergenin,5,J82,4.9055095,1.7758857
Bimatoprost,5,J82,9.657141,2.3662302
Busulfan,5,J82,5.114122,1.8106012
Cepharanthine,5,J82,2.5028322,1.2535719
Chlorhexidine (diacetate),5,J82,2.7201018,1.313751
Ciclopirox,5,J82,2.1953714,1.1617033
Clonidine (hydrochloride),5,J82,2.654778,1.2960354
Clotrimazole,5,J82,4.223064,1.6530842
Cloxacillin (sodium),5,J82,2.0737097,1.1228852
Cysteamine (hydrochloride),5,J82,3.6130288,1.5288846
Darinaparsin,5,J82,4.276413,1.6632465
Demeclocycline,5,J82,2.8426554,1.3461636
Diammonium Glycyrrhizinate,5,J82,4.323351,1.6721029
Docetaxel,5,J82,6.9899216,2.078181
Elagolix sodium,5,J82,5.807842,1.9180751
Fluvoxamine (maleate),5,J82,1.7623484,1.0160812
Folic acid,5,J82,3.254055,1.4478726
Furosemide,5,J82,3.3432178,1.4686155
Fusidic acid,5,J82,3.0920022,1.4090344
Gallic acid,5,J82,2.6884778,1.3052138
Gallic acid (hydrate),5,J82,6.0201445,1.9487838
Gemfibrozil,5,J82,5.6081533,1.8883042
Goserelin (acetate),5,J82,3.484905,1.5007173
Hexylresorcinol,5,J82,4.9696975,1.7866962
Homoharringtonine,5,J82,17.315298,2.9077368
Idarubicin (hydrochloride),5,J82,20.488531,3.0675194
Isocorydine,5,J82,4.2753887,1.6630523
L-Thyroxine (sodium salt pentahydrate),5,J82,2.9415553,1.3715754
Larotrectinib,5,J82,8.269625,2.226743
Lenalidomide (hemihydrate),5,J82,3.6372542,1.5341225
Lidocaine (hydrochloride),5,J82,5.4302354,1.8610111
Lipoic acid,5,J82,2.4594774,1.2411175
Lumateperone (tosylate),5,J82,1.7028546,0.9943085
Medroxyprogesterone acetate,5,J82,7.0389833,2.0843027
Megestrol,5,J82,6.200533,1.9741551
Mitoxantrone (dihydrochloride),5,J82,9.203674,2.322748
Neratinib (maleate),5,J82,9.289415,2.3311157
Norepinephrine (hydrochloride),5,J82,3.6391973,1.5345414
Olanzapine,5,J82,3.1823678,1.4308776
Palmatine (chloride),5,J82,4.7837563,1.7550533
Pasireotide (acetate),5,J82,6.8644013,2.0623465
Pentagastrin,5,J82,2.749777,1.3216964
Pentamidine (isethionate),5,J82,4.845258,1.7656307
Pyridoxine,5,J82,2.8397615,1.3454102
Pyridoxine (hydrochloride),5,J82,4.055711,1.6205184
Quinestrol,5,J82,2.2503772,1.178771
Radotinib,5,J82,4.449679,1.6955566
Raltitrexed,5,J82,3.4165273,1.4853537
Rapamycin,5,J82,5.3037677,1.8411475
Relugolix,5,J82,1.1277721,0.75507545
Resveratrol,5,J82,5.205241,1.8253943
Retinoic acid,5,J82,5.0337334,1.7973659
Riluzole hydrochloride,5,J82,2.3589878,1.2116396
Rimonabant,5,J82,1.8352426,1.0421275
Ritonavir,5,J82,5.566182,1.8819325
Ropivacaine (hydrochloride monohydrate),5,J82,5.453659,1.8646473
S-Adenosyl-L-methionine (disulfate tosylate),5,J82,1.4876081,0.91132164
Salicylic acid,5,J82,5.8148866,1.9191095
Saquinavir,5,J82,4.9213233,1.7785599
Selinexor,5,J82,11.834148,2.5521095
Sinomenine,5,J82,2.8647888,1.351907
Sodium Salicylate,5,J82,5.1226187,1.8119899
Sulfisoxazole,5,J82,3.8391585,1.5767409
Temsirolimus,5,J82,3.5266378,1.5099795
Terfenadine,5,J82,3.8607185,1.5811863
Thymol,5,J82,6.220212,1.9768844
Tofacitinib,5,J82,6.049956,1.9530213
Tofacitinib (citrate),5,J82,6.3985367,2.0012822
Tolcapone,5,J82,3.1009262,1.4112128
Triamcinolone,5,J82,4.5335784,1.7108347
Triclosan,5,J82,4.6727576,1.7356753
Trifluridine,5,J82,4.083889,1.6260765
Trimetrexate,5,J82,5.8337746,1.9218771
Tucidinostat,5,J82,12.515849,2.603863
Vilanterol,5,J82,4.429115,1.691776
Vinblastine (sulfate),5,J82,5.1889124,1.8227594
(R)-Verapamil (hydrochloride),5,KATO III,4.252695,1.6587412
18β-Glycyrrhetinic acid,5,KATO III,2.05774,1.117676
8-Hydroxyquinoline,5,KATO III,3.3906832,1.4794848
Acetohexamide,5,KATO III,5.1113167,1.8101423
Adagrasib,5,KATO III,0.62249506,0.48396513
Adenine,5,KATO III,1.0873173,0.73587966
Adenosine,5,KATO III,2.6721911,1.3007885
Aliskiren,5,KATO III,2.2300456,1.1724962
Allantoin,5,KATO III,1.2871004,0.8272848
Almonertinib (hydrochloride),5,KATO III,1.8106269,1.0334076
Amsacrine,5,KATO III,4.269671,1.661968
Anethole trithione,5,KATO III,4.8421664,1.7651017
Artesunate,5,KATO III,4.7273254,1.7452487
Azithromycin (hydrate),5,KATO III,2.3886385,1.2204282
Baicalin,5,KATO III,4.0402155,1.6174488
Balsalazide (sodium hydrate),5,KATO III,1.8844587,1.0593373
Berbamine,5,KATO III,0.87025297,0.6260737
Berberine (chloride hydrate),5,KATO III,2.6307476,1.2894386
Bergenin,5,KATO III,1.6992929,0.99298984
Bimatoprost,5,KATO III,8.603808,2.2621598
Busulfan,5,KATO III,2.1905875,1.1602051
Cepharanthine,5,KATO III,1.4126234,0.8807147
Chlorhexidine (diacetate),5,KATO III,0.9335827,0.6593746
Ciclopirox,5,KATO III,0.9332699,0.6592128
Clonidine (hydrochloride),5,KATO III,0.7998462,0.5877012
Clotrimazole,5,KATO III,3.4659915,1.4964912
Cloxacillin (sodium),5,KATO III,0.72944903,0.54780287
Cysteamine (hydrochloride),5,KATO III,1.4551613,0.89819247
Darinaparsin,5,KATO III,1.49877,0.9157986
Demeclocycline,5,KATO III,0.9612474,0.6735807
Diammonium Glycyrrhizinate,5,KATO III,1.1827173,0.78057057
Docetaxel,5,KATO III,4.9056225,1.7759049
Elagolix sodium,5,KATO III,3.3773756,1.4764494
Fluvoxamine (maleate),5,KATO III,1.2266728,0.80050844
Folic acid,5,KATO III,0.9406513,0.66302365
Furosemide,5,KATO III,1.2912276,0.82908773
Fusidic acid,5,KATO III,1.1871073,0.78257984
Gallic acid,5,KATO III,0.70096356,0.5311949
Gallic acid (hydrate),5,KATO III,4.0322556,1.6158683
Gemfibrozil,5,KATO III,2.771422,1.3274521
Goserelin (acetate),5,KATO III,2.2778842,1.1871982
Hexylresorcinol,5,KATO III,4.0588884,1.6211468
Homoharringtonine,5,KATO III,22.306482,3.1487315
Idarubicin (hydrochloride),5,KATO III,13.588633,2.6802425
Isocorydine,5,KATO III,2.6658883,1.2990707
L-Thyroxine (sodium salt pentahydrate),5,KATO III,1.9773431,1.0910313
Larotrectinib,5,KATO III,8.544265,2.2559404
Lenalidomide (hemihydrate),5,KATO III,1.4249349,0.88580465
Lidocaine (hydrochloride),5,KATO III,1.9488027,1.0813992
Lipoic acid,5,KATO III,0.74993354,0.5595778
Lumateperone (tosylate),5,KATO III,0.55557424,0.44184476
Medroxyprogesterone acetate,5,KATO III,2.4219558,1.2302122
Megestrol,5,KATO III,5.093949,1.8072963
Mitoxantrone (dihydrochloride),5,KATO III,4.451854,1.6959558
Neratinib (maleate),5,KATO III,4.3062744,1.66889
Norepinephrine (hydrochloride),5,KATO III,0.90044695,0.64208907
Olanzapine,5,KATO III,1.5884122,0.9510446
Palmatine (chloride),5,KATO III,1.5921025,0.95246935
Pasireotide (acetate),5,KATO III,7.176199,2.1012273
Pentagastrin,5,KATO III,1.0467943,0.7162748
Pentamidine (isethionate),5,KATO III,2.2875404,1.1901397
Pyridoxine,5,KATO III,1.3841141,0.86882764
Pyridoxine (hydrochloride),5,KATO III,2.9947114,1.3849714
Quinestrol,5,KATO III,1.0371927,0.7115727
Radotinib,5,KATO III,2.3545268,1.2103107
Raltitrexed,5,KATO III,0.7520472,0.56078494
Rapamycin,5,KATO III,5.258685,1.8339701
Relugolix,5,KATO III,1.649653,0.97442865
Resveratrol,5,KATO III,2.2992723,1.193702
Retinoic acid,5,KATO III,3.8210483,1.5729914
Riluzole hydrochloride,5,KATO III,0.7403326,0.55407625
Rimonabant,5,KATO III,1.5337777,0.92971134
Ritonavir,5,KATO III,2.690831,1.3058516
Ropivacaine (hydrochloride monohydrate),5,KATO III,3.3226132,1.4638602
S-Adenosyl-L-methionine (disulfate tosylate),5,KATO III,2.1854248,1.1585857
Salicylic acid,5,KATO III,4.626956,1.7275686
Saquinavir,5,KATO III,2.038879,1.1114887
Selinexor,5,KATO III,4.4663367,1.6986086
Sinomenine,5,KATO III,2.6041343,1.2820816
Sodium Salicylate,5,KATO III,4.994532,1.7908478
Sulfisoxazole,5,KATO III,3.4732256,1.4981098
Temsirolimus,5,KATO III,1.9729615,1.0895586
Terfenadine,5,KATO III,0.9692208,0.67763793
Thymol,5,KATO III,3.8306463,1.5749803
Tofacitinib,5,KATO III,2.7975223,1.3343488
Tofacitinib (citrate),5,KATO III,3.2446055,1.4456489
Tolcapone,5,KATO III,1.7689327,1.018462
Triamcinolone,5,KATO III,1.4716278,0.90487695
Triclosan,5,KATO III,2.639525,1.2918532
Trifluridine,5,KATO III,1.1749055,0.7769852
Trimetrexate,5,KATO III,3.5546935,1.5161582
Tucidinostat,5,KATO III,8.531034,2.2545533
Vilanterol,5,KATO III,1.3450638,0.8523126
Vinblastine (sulfate),5,KATO III,5.100828,1.8084245
(R)-Verapamil (hydrochloride),5,LOX-IMVI,8.161409,2.2150002
18β-Glycyrrhetinic acid,5,LOX-IMVI,5.7875566,1.915091
8-Hydroxyquinoline,5,LOX-IMVI,8.962662,2.2988443
Acetohexamide,5,LOX-IMVI,7.21361,2.1057925
Adagrasib,5,LOX-IMVI,3.7158685,1.5509331
Adenine,5,LOX-IMVI,3.3489058,1.4699242
Adenosine,5,LOX-IMVI,0.7846506,0.5792227
Aliskiren,5,LOX-IMVI,3.8517883,1.5793474
Allantoin,5,LOX-IMVI,6.3061957,1.9887227
Almonertinib (hydrochloride),5,LOX-IMVI,6.205297,1.9748164
Amsacrine,5,LOX-IMVI,4.922497,1.778758
Anethole trithione,5,LOX-IMVI,3.127354,1.4176365
Artesunate,5,LOX-IMVI,1.0023532,0.69432306
Azithromycin (hydrate),5,LOX-IMVI,3.162114,1.4260231
Baicalin,5,LOX-IMVI,7.2790303,2.113726
Balsalazide (sodium hydrate),5,LOX-IMVI,4.1784554,1.6445068
Berbamine,5,LOX-IMVI,6.216738,1.9764031
Berberine (chloride hydrate),5,LOX-IMVI,7.1866603,2.102506
Bergenin,5,LOX-IMVI,7.4374185,2.1326764
Bimatoprost,5,LOX-IMVI,13.291863,2.6596904
Busulfan,5,LOX-IMVI,6.501196,2.0150626
Cepharanthine,5,LOX-IMVI,4.496714,1.7041504
Chlorhexidine (diacetate),5,LOX-IMVI,3.8753953,1.5842012
Ciclopirox,5,LOX-IMVI,2.7301512,1.3164488
Clonidine (hydrochloride),5,LOX-IMVI,3.8180397,1.5723672
Clotrimazole,5,LOX-IMVI,6.084038,1.957844
Cloxacillin (sodium),5,LOX-IMVI,2.263682,1.182856
Cysteamine (hydrochloride),5,LOX-IMVI,5.444967,1.8632995
Darinaparsin,5,LOX-IMVI,5.408452,1.8576177
Demeclocycline,5,LOX-IMVI,2.569471,1.2724174
Diammonium Glycyrrhizinate,5,LOX-IMVI,4.761624,1.7512194
Docetaxel,5,LOX-IMVI,8.572486,2.258893
Elagolix sodium,5,LOX-IMVI,9.197238,2.3221169
Fluvoxamine (maleate),5,LOX-IMVI,2.7943864,1.3335227
Folic acid,5,LOX-IMVI,3.9289796,1.595132
Furosemide,5,LOX-IMVI,6.043938,1.9521674
Fusidic acid,5,LOX-IMVI,5.3521714,1.8487967
Gallic acid,5,LOX-IMVI,3.492883,1.5024946
Gallic acid (hydrate),5,LOX-IMVI,7.471487,2.136706
Gemfibrozil,5,LOX-IMVI,7.7258906,2.1662946
Goserelin (acetate),5,LOX-IMVI,4.9017053,1.7752414
Hexylresorcinol,5,LOX-IMVI,8.344122,2.2347474
Homoharringtonine,5,LOX-IMVI,28.22824,3.3751354
Idarubicin (hydrochloride),5,LOX-IMVI,15.763441,2.8192003
Isocorydine,5,LOX-IMVI,7.1035147,2.0922978
L-Thyroxine (sodium salt pentahydrate),5,LOX-IMVI,4.4005194,1.6864951
Larotrectinib,5,LOX-IMVI,11.384891,2.516477
Lenalidomide (hemihydrate),5,LOX-IMVI,5.0057526,1.7927177
Lidocaine (hydrochloride),5,LOX-IMVI,8.595101,2.2612526
Lipoic acid,5,LOX-IMVI,2.2048838,1.1646758
Lumateperone (tosylate),5,LOX-IMVI,3.3255715,1.4645443
Medroxyprogesterone acetate,5,LOX-IMVI,11.367918,2.515106
Megestrol,5,LOX-IMVI,7.4678254,2.1362736
Mitoxantrone (dihydrochloride),5,LOX-IMVI,2.9911053,1.3840683
Neratinib (maleate),5,LOX-IMVI,10.691393,2.458853
Norepinephrine (hydrochloride),5,LOX-IMVI,6.0330534,1.9506209
Olanzapine,5,LOX-IMVI,5.0295715,1.7966759
Palmatine (chloride),5,LOX-IMVI,7.673848,2.1603127
Pasireotide (acetate),5,LOX-IMVI,9.015512,2.304135
Pentagastrin,5,LOX-IMVI,4.4350867,1.6928755
Pentamidine (isethionate),5,LOX-IMVI,7.590693,2.1506793
Pyridoxine,5,LOX-IMVI,4.205057,1.6496307
Pyridoxine (hydrochloride),5,LOX-IMVI,5.398435,1.8560535
Quinestrol,5,LOX-IMVI,3.335026,1.4667276
Radotinib,5,LOX-IMVI,7.4256244,2.1312776
Raltitrexed,5,LOX-IMVI,7.046102,2.0851877
Rapamycin,5,LOX-IMVI,5.541119,1.8781083
Relugolix,5,LOX-IMVI,1.7263091,1.0029488
Resveratrol,5,LOX-IMVI,7.9955277,2.1967275
Retinoic acid,5,LOX-IMVI,7.8890386,2.184819
Riluzole hydrochloride,5,LOX-IMVI,5.969976,1.9416118
Rimonabant,5,LOX-IMVI,2.6304286,1.2893507
Ritonavir,5,LOX-IMVI,6.9090266,2.0680046
Ropivacaine (hydrochloride monohydrate),5,LOX-IMVI,6.482234,2.0125315
S-Adenosyl-L-methionine (disulfate tosylate),5,LOX-IMVI,3.6652505,1.5401416
Salicylic acid,5,LOX-IMVI,8.332557,2.233509
Saquinavir,5,LOX-IMVI,7.1623216,2.0995286
Selinexor,5,LOX-IMVI,7.0181656,2.0817096
Sinomenine,5,LOX-IMVI,4.0919685,1.6276646
Sodium Salicylate,5,LOX-IMVI,7.575052,2.148857
Sulfisoxazole,5,LOX-IMVI,6.517455,2.0172276
Temsirolimus,5,LOX-IMVI,3.841635,1.5772525
Terfenadine,5,LOX-IMVI,4.1083074,1.6308681
Thymol,5,LOX-IMVI,7.991742,2.1963067
Tofacitinib,5,LOX-IMVI,7.5161047,2.141959
Tofacitinib (citrate),5,LOX-IMVI,7.8323655,2.178423
Tolcapone,5,LOX-IMVI,4.17806,1.6444305
Triamcinolone,5,LOX-IMVI,6.909968,2.0681238
Triclosan,5,LOX-IMVI,5.2352285,1.8302152
Trifluridine,5,LOX-IMVI,6.3730416,1.9978303
Trimetrexate,5,LOX-IMVI,6.985788,2.0776634
Tucidinostat,5,LOX-IMVI,16.303383,2.850902
Vilanterol,5,LOX-IMVI,5.002948,1.7922506
Vinblastine (sulfate),5,LOX-IMVI,8.08163,2.2062538
(R)-Verapamil (hydrochloride),5,LS 180,4.3592043,1.6788155
18β-Glycyrrhetinic acid,5,LS 180,2.5313623,1.2616837
8-Hydroxyquinoline,5,LS 180,5.8696017,1.9271061
Acetohexamide,5,LS 180,6.086151,1.9581423
Adagrasib,5,LS 180,1.283948,0.8259055
Adenine,5,LS 180,1.2573392,0.8141868
Adenosine,5,LS 180,2.276978,1.1869216
Aliskiren,5,LS 180,4.555253,1.714744
Allantoin,5,LS 180,1.0410848,0.7134814
Almonertinib (hydrochloride),5,LS 180,3.6658282,1.5402653
Amsacrine,5,LS 180,5.15521,1.8172989
Anethole trithione,5,LS 180,2.4155772,1.2283465
Artesunate,5,LS 180,3.3691669,1.4745723
Azithromycin (hydrate),5,LS 180,3.5377104,1.5124226
Baicalin,5,LS 180,5.798899,1.9167607
Balsalazide (sodium hydrate),5,LS 180,2.7835286,1.330657
Berbamine,5,LS 180,1.8733538,1.05548
Berberine (chloride hydrate),5,LS 180,4.5588884,1.7153982
Bergenin,5,LS 180,1.3166009,0.840101
Bimatoprost,5,LS 180,9.954965,2.3937926
Busulfan,5,LS 180,3.3426616,1.4684874
Cepharanthine,5,LS 180,0.67783403,0.5175037
Chlorhexidine (diacetate),5,LS 180,1.6554079,0.97659826
Ciclopirox,5,LS 180,1.0433599,0.71459544
Clonidine (hydrochloride),5,LS 180,1.6286701,0.96647805
Clotrimazole,5,LS 180,5.8568673,1.9252506
Cloxacillin (sodium),5,LS 180,1.5175631,0.92329144
Cysteamine (hydrochloride),5,LS 180,3.7098303,1.5496519
Darinaparsin,5,LS 180,3.2508967,1.44713
Demeclocycline,5,LS 180,1.4863888,0.9108314
Diammonium Glycyrrhizinate,5,LS 180,1.9391845,1.0781322
Docetaxel,5,LS 180,6.265882,1.9831897
Elagolix sodium,5,LS 180,5.003529,1.7923474
Fluvoxamine (maleate),5,LS 180,1.7898968,1.0260046
Folic acid,5,LS 180,2.7488182,1.3214406
Furosemide,5,LS 180,3.0842173,1.4071301
Fusidic acid,5,LS 180,1.5722005,0.94476175
Gallic acid,5,LS 180,1.7813967,1.0229533
Gallic acid (hydrate),5,LS 180,5.8873944,1.9296929
Gemfibrozil,5,LS 180,3.0651846,1.4024591
Goserelin (acetate),5,LS 180,3.3290586,1.4653502
Hexylresorcinol,5,LS 180,4.9390163,1.7815435
Homoharringtonine,5,LS 180,26.957432,3.330683
Idarubicin (hydrochloride),5,LS 180,13.020454,2.6405172
Isocorydine,5,LS 180,3.902936,1.5898342
L-Thyroxine (sodium salt pentahydrate),5,LS 180,3.4153821,1.4850944
Larotrectinib,5,LS 180,9.505793,2.3519268
Lenalidomide (hemihydrate),5,LS 180,1.649304,0.974297
Lidocaine (hydrochloride),5,LS 180,2.122212,1.1385417
Lipoic acid,5,LS 180,2.0557911,1.1170385
Lumateperone (tosylate),5,LS 180,1.061308,0.72334075
Medroxyprogesterone acetate,5,LS 180,3.813064,1.5713339
Megestrol,5,LS 180,6.022117,1.9490647
Mitoxantrone (dihydrochloride),5,LS 180,3.0808136,1.4062964
Neratinib (maleate),5,LS 180,6.3861365,1.9996048
Norepinephrine (hydrochloride),5,LS 180,1.9321253,1.0757275
Olanzapine,5,LS 180,1.9937083,1.0965128
Palmatine (chloride),5,LS 180,4.282003,1.6643053
Pasireotide (acetate),5,LS 180,8.063158,2.2042177
Pentagastrin,5,LS 180,3.0383976,1.3958479
Pentamidine (isethionate),5,LS 180,5.0955987,1.807567
Pyridoxine,5,LS 180,3.1191037,1.4156356
Pyridoxine (hydrochloride),5,LS 180,5.1851444,1.8221503
Quinestrol,5,LS 180,1.1416203,0.7615627
Radotinib,5,LS 180,5.8370047,1.9223497
Raltitrexed,5,LS 180,6.2096496,1.9754204
Rapamycin,5,LS 180,6.0790696,1.9571425
Relugolix,5,LS 180,1.047897,0.7168134
Resveratrol,5,LS 180,4.6011214,1.7229669
Retinoic acid,5,LS 180,4.7893996,1.7560287
Riluzole hydrochloride,5,LS 180,2.414627,1.2280684
Rimonabant,5,LS 180,1.1725848,0.7759176
Ritonavir,5,LS 180,4.703489,1.7410781
Ropivacaine (hydrochloride monohydrate),5,LS 180,4.2501564,1.6582578
S-Adenosyl-L-methionine (disulfate tosylate),5,LS 180,1.1149527,0.74903244
Salicylic acid,5,LS 180,5.565487,1.8818266
Saquinavir,5,LS 180,3.2730467,1.4523271
Selinexor,5,LS 180,6.2121644,1.975769
Sinomenine,5,LS 180,2.5484715,1.2665169
Sodium Salicylate,5,LS 180,5.2193136,1.8276596
Sulfisoxazole,5,LS 180,4.4437838,1.6944743
Temsirolimus,5,LS 180,3.8961859,1.5884565
Terfenadine,5,LS 180,0.732564,0.5496024
Thymol,5,LS 180,3.7679281,1.5619118
Tofacitinib,5,LS 180,5.186577,1.822382
Tofacitinib (citrate),5,LS 180,5.2193723,1.827669
Tolcapone,5,LS 180,2.1542854,1.148762
Triamcinolone,5,LS 180,0.9764741,0.6813145
Triclosan,5,LS 180,3.9825137,1.6059345
Trifluridine,5,LS 180,4.1709037,1.6430475
Trimetrexate,5,LS 180,4.0133157,1.6120975
Tucidinostat,5,LS 180,9.799207,2.3794727
Vilanterol,5,LS 180,3.0089915,1.3885397
Vinblastine (sulfate),5,LS 180,9.513126,2.3526247
(R)-Verapamil (hydrochloride),5,LoVo,3.1421385,1.4212122
18β-Glycyrrhetinic acid,5,LoVo,2.1408117,1.1444813
8-Hydroxyquinoline,5,LoVo,4.223068,1.653085
Acetohexamide,5,LoVo,4.573474,1.7180185
Adagrasib,5,LoVo,0.5257193,0.42246595
Adenine,5,LoVo,1.1809465,0.77975893
Adenosine,5,LoVo,1.5997761,0.9554254
Aliskiren,5,LoVo,3.4766824,1.4988823
Allantoin,5,LoVo,0.828243,0.6033554
Almonertinib (hydrochloride),5,LoVo,2.132004,1.1416731
Amsacrine,5,LoVo,4.125964,1.6343186
Anethole trithione,5,LoVo,2.2750018,1.1863184
Artesunate,5,LoVo,1.526885,0.92698735
Azithromycin (hydrate),5,LoVo,3.5255587,1.5097411
Baicalin,5,LoVo,5.2631106,1.834677
Balsalazide (sodium hydrate),5,LoVo,2.2370594,1.1746653
Berbamine,5,LoVo,1.0235411,0.704849
Berberine (chloride hydrate),5,LoVo,3.2952023,1.4574987
Bergenin,5,LoVo,1.1004517,0.7421524
Bimatoprost,5,LoVo,8.569752,2.2586074
Busulfan,5,LoVo,1.6593386,0.9780774
Cepharanthine,5,LoVo,1.3439858,0.8518528
Chlorhexidine (diacetate),5,LoVo,0.5026087,0.40720275
Ciclopirox,5,LoVo,2.1661606,1.1525197
Clonidine (hydrochloride),5,LoVo,0.9203492,0.652507
Clotrimazole,5,LoVo,4.375387,1.6818306
Cloxacillin (sodium),5,LoVo,1.467452,0.9031861
Cysteamine (hydrochloride),5,LoVo,2.558137,1.269237
Darinaparsin,5,LoVo,1.9563476,1.0839546
Demeclocycline,5,LoVo,1.1269612,0.7546943
Diammonium Glycyrrhizinate,5,LoVo,2.0547833,1.1167086
Docetaxel,5,LoVo,3.874337,1.5839841
Elagolix sodium,5,LoVo,4.1563354,1.6402261
Fluvoxamine (maleate),5,LoVo,2.0390298,1.1115383
Folic acid,5,LoVo,1.914524,1.0697064
Furosemide,5,LoVo,2.8758414,1.3547628
Fusidic acid,5,LoVo,1.3370279,0.84888
Gallic acid,5,LoVo,0.5085745,0.41116515
Gallic acid (hydrate),5,LoVo,3.782326,1.5649271
Gemfibrozil,5,LoVo,1.6978462,0.99245375
Goserelin (acetate),5,LoVo,2.699731,1.3082602
Hexylresorcinol,5,LoVo,5.3479133,1.8481262
Homoharringtonine,5,LoVo,25.457687,3.2755468
Idarubicin (hydrochloride),5,LoVo,13.450763,2.6707473
Isocorydine,5,LoVo,3.4923415,1.502374
L-Thyroxine (sodium salt pentahydrate),5,LoVo,4.2592535,1.6599891
Larotrectinib,5,LoVo,7.6729145,2.160205
Lenalidomide (hemihydrate),5,LoVo,1.7740657,1.020314
Lidocaine (hydrochloride),5,LoVo,0.85462546,0.61768275
Lipoic acid,5,LoVo,1.0303372,0.7082019
Lumateperone (tosylate),5,LoVo,2.2085462,1.165818
Medroxyprogesterone acetate,5,LoVo,2.0272722,1.107662
Megestrol,5,LoVo,4.737402,1.7470064
Mitoxantrone (dihydrochloride),5,LoVo,2.464435,1.2425495
Neratinib (maleate),5,LoVo,6.4155865,2.0035841
Norepinephrine (hydrochloride),5,LoVo,0.69859105,0.5297991
Olanzapine,5,LoVo,2.3151035,1.1984888
Palmatine (chloride),5,LoVo,2.432911,1.2334086
Pasireotide (acetate),5,LoVo,6.767519,2.0499508
Pentagastrin,5,LoVo,2.3657956,1.2136644
Pentamidine (isethionate),5,LoVo,3.2849898,1.4551182
Pyridoxine,5,LoVo,1.9124975,1.069011
Pyridoxine (hydrochloride),5,LoVo,4.6139393,1.7252526
Quinestrol,5,LoVo,1.0860573,0.7352758
Radotinib,5,LoVo,5.7759457,1.913379
Raltitrexed,5,LoVo,5.655813,1.8954906
Rapamycin,5,LoVo,4.561769,1.7159162
Relugolix,5,LoVo,0.90745354,0.6457691
Resveratrol,5,LoVo,2.4754987,1.245738
Retinoic acid,5,LoVo,3.8443942,1.5778222
Riluzole hydrochloride,5,LoVo,2.9534278,1.374583
Rimonabant,5,LoVo,0.6715495,0.51375103
Ritonavir,5,LoVo,3.7714665,1.5626537
Ropivacaine (hydrochloride monohydrate),5,LoVo,2.6472392,1.2939705
S-Adenosyl-L-methionine (disulfate tosylate),5,LoVo,0.40425378,0.33950603
Salicylic acid,5,LoVo,5.0550575,1.8008939
Saquinavir,5,LoVo,1.6262712,0.9655651
Selinexor,5,LoVo,6.112242,1.9618175
Sinomenine,5,LoVo,1.9880072,1.0946066
Sodium Salicylate,5,LoVo,4.8132105,1.760133
Sulfisoxazole,5,LoVo,3.1427078,1.4213496
Temsirolimus,5,LoVo,2.5617275,1.2702457
Terfenadine,5,LoVo,1.4700284,0.90422964
Thymol,5,LoVo,3.3673089,1.474147
Tofacitinib,5,LoVo,3.0716872,1.4040575
Tofacitinib (citrate),5,LoVo,1.5425122,0.9331527
Tolcapone,5,LoVo,1.5238545,0.9257873
Triamcinolone,5,LoVo,0.8528426,0.61672103
Triclosan,5,LoVo,3.6945786,1.5464084
Trifluridine,5,LoVo,2.976575,1.3804209
Trimetrexate,5,LoVo,3.1401803,1.4207393
Tucidinostat,5,LoVo,10.762987,2.464958
Vilanterol,5,LoVo,2.3942003,1.2220682
Vinblastine (sulfate),5,LoVo,3.700653,1.5477015
(R)-Verapamil (hydrochloride),5,MIA PaCa-2,4.810155,1.7596072
18β-Glycyrrhetinic acid,5,MIA PaCa-2,3.388361,1.4789557
8-Hydroxyquinoline,5,MIA PaCa-2,3.7832112,1.5651121
Acetohexamide,5,MIA PaCa-2,4.4412446,1.6940079
Adagrasib,5,MIA PaCa-2,6.4233603,2.0046318
Adenine,5,MIA PaCa-2,0.720248,0.5424684
Adenosine,5,MIA PaCa-2,2.5466087,1.2659918
Aliskiren,5,MIA PaCa-2,1.9065276,1.0669591
Allantoin,5,MIA PaCa-2,3.186306,1.4318187
