drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist
Fluvoxamine,2.7356191682391433,2.65360047659849,142
Fluvoxamine (maleate),2.237523879718476,2.077472280809528,191
Folic acid,2.065256461088924,1.9046429679758663,191
Fostamatinib (disodium hexahydrate),1.3284740079739636,1.1875826140103072,48
Fulvestrant,2.03021306790563,1.96964793557074,143
Fumaric acid,1.843044598718635,1.940978089995627,191
Furosemide,1.5875446562139826,1.5718813661502804,191
Fusidic acid,1.7624922030502208,1.69340608973759,193
Futibatinib,2.8107813598559863,2.623948162780142,141
GSK1059615,4.292810046062874,3.6953899901871305,143
Gallic acid,1.9037020553372952,1.8680935388782784,191
Gallic acid (hydrate),2.392831458079252,2.3279770619416635,192
Gefitinib,1.881360325689182,1.8160746872249038,144
Gemcitabine,2.5260811866705017,2.431499421150662,145
Gemfibrozil,2.6020121696912737,2.3223341127240014,192
Glasdegib,1.9370275477702472,1.8423330916880587,48
Glycyrrhizic acid,2.0473851861991315,2.032794617410008,141
Goserelin (acetate),2.241835686199553,2.1751365451540217,192
HI-TOPK-032,3.3822633994527114,3.287409444171513,140
Harringtonine,4.722109944377968,4.350900573080561,142
Hesperidin,2.135980371838456,2.0978619792113533,143
Hexylresorcinol,2.0907948191291057,2.029714818024453,192
Homoharringtonine,5.907570862381705,5.409199457216074,187
Hydroxyfasudil,2.660727701020028,2.7124849319032838,143
Hydroxyurea,1.8401330790762274,2.070380514484342,138
IQ 1,2.424929594484408,2.398743035780967,141
Idarubicin (hydrochloride),4.500952814388249,4.051490748308877,190
Idoxuridine,2.59243460753785,2.609495573937375,144
Imiquimod (hydrochloride),2.353007383206963,2.314662626183419,142
Imiquimod (maleate),2.0185946867216913,1.9684100951297705,139
Indacaterol (maleate),2.350973421869231,2.412822812343327,144
Infigratinib,2.842540541458753,2.740722248514849,144
Ipatasertib,3.9014164338957253,3.6093671199312554,143
Irinotecan,2.369189522519681,2.392141093722923,143
Irinotecan (hydrochloride),2.5540715699959557,2.5050561728673357,191
Isocorydine,1.9644412984216069,1.911103039214603,191
Ivabradine (hydrochloride),1.2423999725578736,1.2452760571143118,48
Ivermectin,1.6529304675397072,1.5886810857476181,142
Ixazomib,2.5814315803180587,2.552225957502871,141
Ixazomib citrate,4.103716207744009,3.623390433149766,142
L-Eflornithine (monohydrochloride),2.4341181656303132,2.3635433247205166,143
L-Thyroxine (sodium salt pentahydrate),2.1073079420584313,2.058367223642175,144
LB-100,2.009948035051121,2.0441631130347324,144
LJI308,3.1343539532328935,3.0587742013110595,142
LY-2584702 (tosylate salt),3.9473176978271054,3.3376894237059744,136
LY2090314,2.094054719049436,2.0689397944640304,144
Lactate (calcium),2.408254036280872,2.3383024041276728,144
Lapatinib ditosylate,1.9328057103323826,1.9175361790784538,143
Larotrectinib,2.3965129025172622,2.342181931825738,190
Larotrectinib sulfate,2.0017974544938664,1.9651605986878067,48
Lenalidomide (hemihydrate),2.3764227318665663,2.340687704682646,191
Levobupivacaine (hydrochloride),2.2692313215981814,2.213113571527068,142
Lidocaine (hydrochloride),2.9990550018665276,2.8864064819045177,189
Ligustrazine,2.146701890860448,2.1436835409690875,141
Lipoic acid,1.4547964129436677,1.428144845049923,192
Lonafarnib,2.4968231026813097,2.7627399389431746,130
Loperamide (hydrochloride),2.17808228111054,2.1540136319482053,144
Lopinavir,2.0889607981035025,2.03028571474583,141
Lucanthone,3.175103375011675,2.5969519767144704,144
Lumateperone (tosylate),1.5812560003210407,1.4787957125520608,192
MK-3903,3.3143623831855225,3.2437139967612643,142
MK-8353,1.7302896555329017,1.7796428793512669,143
ML264,3.339788558712871,3.175926257809387,143
Macitentan,1.1330447493677498,1.4330059907679995,143
Malotilate,3.1329905284595214,2.813653841148605,192
Mebendazole,2.4689822175062126,2.4458357744956256,144
Medroxyprogesterone acetate,2.535464380356932,2.5204841697726583,192
Megestrol,2.244474297504488,2.222055728034817,192
Meloxicam,1.6335939809330875,1.4817804990776717,144
Menadione,1.8559166763878567,1.957502451747955,141
Methotrexate,1.569891106670082,1.5516098254678359,143
Methyl aminolevulinate (hydrochloride),2.183249711279661,2.2428537620817077,144
Methylprednisolone succinate,2.6487183999507673,2.906446230883869,144
Methylthiouracil,1.4412103277342196,1.4258056260170517,144
Mifepristone,2.0012242582951316,1.9468668859812097,142
Minodronic acid,2.2048109267595373,2.040976978152786,143
Mitoxantrone (dihydrochloride),2.9148253953788874,3.098914664395203,190
Monocrotaline,2.3186846878660603,2.3095289604884166,141
Mozavaptan,1.931091405202388,1.8656066647557945,141
NG25,2.3816830172340886,2.5046208389388087,142
NVP-BHG712,2.944678593685709,3.1173454044265694,142
Nafamostat (mesylate),1.932889766833351,1.9988489091328934,143
Naproxen,1.5501635912076486,1.36649630005503,189
Neratinib,2.0933563417350607,2.002476192319515,142
Neratinib (maleate),2.6189720632899762,2.5648914154930473,192
Nevirapine,2.007688301994188,2.115263088710606,142
Niclosamide (olamine),2.802675163785689,3.0370295440396538,142
Nimesulide,1.217714777196507,1.2678763602936083,48
Norepinephrine (hydrochloride),2.1756722601998297,2.0614300042866485,192
OTS514,2.6957906179785107,2.702893063432352,140
Olanzapine,1.6227359791913187,1.5866295730200957,192
Oleic acid,2.2281656287161913,2.1298546277269326,144
Omeprazole,1.534048853285938,1.4567597064541864,143
Omeprazole (sodium),1.896466294008549,1.8765299695593467,143
Orlistat,2.3463869941128177,2.3402570854264417,142
Ornidazole,1.5667613626937622,1.5223298827019665,48
Osimertinib (mesylate),2.226174656693173,1.9312225194455686,142
Ouabain (Octahydrate),4.528768670085856,4.377167517666962,143
Oxaliplatin,1.9595207276474995,1.842185586587107,144
Oxaprozin,2.6601794049673315,2.5422611079162842,143
PF-06260933,3.0526771008064872,2.983114017249849,141
PH-797804,4.309502423695162,3.852441782868203,143
Paclitaxel,3.0032112969372013,3.204873353495619,144
Palmatine (chloride),2.1473950353642595,2.1106410877165382,192
Panobinostat,4.73372223194154,4.584552377223693,144
Pasireotide (acetate),2.534039283204721,2.4374584065852223,192
Pemetrexed,2.220300450326561,2.1486160334630116,140
Pemigatinib,2.11988178381223,2.036063747447624,109
Penfluridol,2.0815494582626717,2.114308487461246,141
Pentagastrin,2.090005190891083,2.0701060581256936,192
Pentamidine (isethionate),2.0418546667438373,2.0440643319919007,237
Pentoxifylline,2.3752900715937173,2.288873303662987,144
Peretinoin,2.995592349630484,2.844689656061855,141
Perindopril (erbumine),1.433762129397012,1.357534025533682,143
Pexidartinib (hydrochloride),3.091558536589766,2.644916318479605,142
Phenylephrine (hydrochloride),2.182258407230772,2.187674596746938,144
Phenytoin (sodium),2.0727724779941235,1.8313381843782122,140
Pimitespib,2.550340070551604,2.564203632631103,142
Pimozide,2.2787599689749145,2.1918679858768506,140
Pioglitazone,2.302205907208379,2.0068416475157846,143
Piroxicam,1.9151854043229921,2.0581562382198832,144
Pitavastatin (Calcium),2.58169530073588,2.7517228200214205,140
Plicamycin,1.3702027841288804,1.231458199159323,48
Ponatinib,2.7825736000856307,2.854235134588344,143
Posaconazole,2.3561397564034015,2.495216311366184,143
Pralsetinib,2.7624141086070835,2.829000621162893,189
Pravastatin (sodium),2.172633076000456,2.2238942826518526,191
Procainamide (hydrochloride),2.0866138966888643,2.0289829500918164,141
Proglumide,1.5608282039343806,1.5581803421040328,142
Pyridoxine,1.9529954284668638,1.9588565006769745,186
Pyridoxine (hydrochloride),2.228428401420594,2.3633304287572052,192
Quinestrol,2.1577103813222083,2.0750549487436976,192
Quinidine (15% dihydroquinidine),2.38966194837282,2.356365633701417,143
RMC-6236,2.9118475952824387,3.2213088414869664,144
Radotinib,2.562459174244668,2.575984026138693,190
Ralimetinib dimesylate,3.5539348288662613,3.3999475151089658,142
Raltitrexed,1.734140450995079,1.639242234779344,190
Ranolazine,2.021972819019939,1.9836697147971474,144
Rapamycin,2.3600689978261506,2.2921441801815994,192
Regorafenib,2.315038244050691,2.2678851222122405,191
Relugolix,2.006378134458559,1.817304370840598,192
Resveratrol,2.289172899526688,2.1866261034025603,191
Retinoic acid,2.418595814079784,2.4458913727485987,192
Ribociclib,1.0372165974454526,0.9740919480465609,48
Rifaximin,1.4990231431233667,1.730065261866105,142
Riluzole hydrochloride,2.0002184990893737,1.983983955703924,192
Rimonabant,1.4894318775710715,1.4053469180364264,192
Rimonabant (Hydrochloride),1.0519825294425726,0.9313710056560388,48
Ritonavir,2.4510743812888838,2.4496277966191777,192
Ropivacaine (hydrochloride monohydrate),2.662740139405356,2.6224493395667667,190
Rosiglitazone,1.8236693854611468,1.7335735194017539,142
Roxadustat,3.096448705621019,3.006177798051807,141
Rucaparib (phosphate),2.201386523528817,2.1259488072593475,144
Rutin (trihydrate),2.940049560143453,2.44964640198307,143
S-Adenosyl-L-methionine (disulfate tosylate),1.7789481207852753,1.773139623724572,192
SBI-0640756,2.332409188204768,2.3298792737568874,95
Sacubitril/Valsartan,2.564394513887989,2.501281090851758,143
Salicylic acid,2.124603619972798,2.078407648489581,190
Sapanisertib,4.36401540041485,3.965340602589263,144
Saquinavir,2.5326391375262474,2.4597060421945502,190
Selinexor ,2.9645722157549708,2.9734192684905305,188
Sildenafil,2.418253781265382,2.5490900009447293,142
Silodosin,1.2632318266723193,1.1053588027198,140
Simotinib,1.5471907636550706,1.4959282722248537,140
Sinomenine,1.908249667347317,1.8979147098061102,192
Sivelestat (sodium tetrahydrate),2.9203733920604327,2.620473935561262,143
Sodium Salicylate,2.4582780326822924,2.4043194757040274,192
Sonidegib,3.076758123576707,3.413530769246564,139
Sulfatinib,1.870975977436139,1.8395775607399885,142
Sulfisoxazole,2.1080116731930967,2.11519162073566,239
Sunitinib,2.6323937116350287,2.445362377696482,142
TAK-733,2.664135426134285,2.663307478065089,141
TAK-901,4.388937302233005,4.701795414994356,142
Tadalafil,2.1632370186694523,2.4581388429161217,142
Talc,1.7382688284901695,1.7862502634661177,142
Tazarotene,2.5088119901222,2.517589483054722,144
Temsirolimus,2.388161110511302,2.2587587468838257,191
Temuterkib,3.4107309829862302,3.2879047176478045,143
Terfenadine,2.6377931469725056,2.3556657182166587,235
Tetracycline (hydrochloride),2.422504220558759,2.327795197606122,143
Thymol,2.2534665426864446,2.1829386780495454,190
Thymopentin,2.002013426613621,2.3502012130865255,141
Tirabrutinib,3.428885568709298,3.225076954783871,144
Tirabrutinib (hydrochloride),2.8234518336951817,2.709540204675422,144
Tofacitinib,2.5328038901210634,2.529822191482044,191
Tofacitinib (citrate),2.468496627402705,2.437309850257417,192
Tolcapone,1.9613383624739198,1.8101967993353698,192
Tolmetin,1.7549882753112802,1.846538898287983,143
Tomivosertib,3.307994170656584,2.9540126044619432,144
Topotecan (hydrochloride),2.820258008282608,2.9357986684129176,187
Torkinib,3.0266108566388046,2.962166438136957,139
Trametinib,2.9434501498314454,3.031062018273506,286
Trametinib (DMSO_TF solvate),3.4316820526507916,3.237463613247377,143
Tranilast,1.938064819466969,1.9680395331430298,143
Triamcinolone,2.399006675253526,2.355869301922515,192
Triclosan,2.089716095061164,2.0296797001875,192
Trifluridine,1.779901186554342,1.824161025565477,192
Trimetrexate,2.355919566459068,2.345494516762201,192
Tubulin inhibitor 6,1.8916514390803763,1.850623169346904,143
Tucatinib,2.1678896778191596,2.0772431082697684,144
Tucidinostat,2.947776500636927,2.949662670672892,192
ULK-101,2.6127957543716134,2.8789753239443456,141
Uridine,1.4689514196185813,1.3938384519333302,144
Valdecoxib,1.466220456913005,1.415289618244746,140
Vandetanib,2.537795236132929,2.564999529648468,143
Vemurafenib,2.6470728814726927,2.6767822354993767,144
Verapamil,1.9202343181106891,2.0530056203516653,142
Verteporfin,2.6614623564213478,2.7360919793971887,143
Vilanterol,2.61961107120972,2.4020456839852034,190
Vinblastine (sulfate),3.1206502021655136,3.120372451526358,191
Vismodegib,1.6121580407966511,1.4515115721653822,141
Vitamin K4,1.9817975972088928,1.9559628815948997,144
Volasertib,2.0826556507411977,2.0363695095088654,142
Voriconazole,1.8527435570293063,1.7461027384479313,143
Vortioxetine,2.255171470754879,2.2385926120829653,143
XRK3F2,3.791954158639756,3.3957616266795667,141
Zileuton,1.6964016063939167,1.780602794348557,143
c-Kit-IN-1,3.185100106625787,3.3157732614353552,142
crizotinib,2.4714174859568967,2.546768424740586,143
olaparib,2.6129548619440257,2.602723105267774,144
palbociclib,2.689831848823384,2.682713305854986,140
venetoclax,2.9707720819314596,3.09379727231009,143
vincristine,3.6220091526758047,3.38523216799098,140
γ-Oryzanol,1.5750996898401517,1.4088526665544114,143
