drug,median_log1p_edist,mean_log1p_edist,n_comparisons_edist,median_log1p_mag,moa
Estrone sulfate (potassium),2.549349128193737,2.4398228913104747,142,1.4590244,unclear
Everolimus,2.310233139112426,2.2728732568365717,144,1.4975445,MTOR inhibitor
Fedratinib (hydrochloride hydrate),2.665679100727349,2.3939228701978257,144,1.3935432,JAK/STAT inhibitor
Fenofibrate,2.4942615811096087,2.2057080356222594,143,1.2663431,unclear
Ferulic acid,2.4722949147333635,2.4759733556254457,141,1.9118792,Other TK inhibitor
Filgotinib,1.705197600600263,1.6276574733034184,144,1.2503397,JAK/STAT inhibitor
Finasteride,2.3375781616069005,2.435719663210837,141,1.5753179,unclear
Fingolimod (hydrochloride),1.975100785664928,2.1410478330838347,143,1.2071804,unclear
Flumatinib (mesylate),2.315239301582032,2.2246325776352514,190,1.3687377,Other TK inhibitor
Flutamide,2.3232827985396156,2.205341776659636,142,1.0903951,Androgen receptor antagonist
Fluvoxamine,2.7356191682391433,2.65360047659849,142,1.9707098,unclear
Fluvoxamine (maleate),2.237523879718476,2.077472280809528,191,0.8991759,unclear
Folic acid,2.065256461088924,1.9046429679758663,191,1.0984458,unclear
Fostamatinib (disodium hexahydrate),1.3284740079739636,1.1875826140103072,48,0.9468695,Other TK inhibitor
Fulvestrant,2.03021306790563,1.96964793557074,143,1.0417006,unclear
Fumaric acid,1.843044598718635,1.940978089995627,191,1.5385795,unclear
Furosemide,1.5875446562139826,1.5718813661502804,191,0.8557787,unclear
Fusidic acid,1.7624922030502208,1.69340608973759,193,0.8697947,unclear
Futibatinib,2.8107813598559863,2.623948162780142,141,1.2674328,Other TK inhibitor
GSK1059615,4.292810046062874,3.6953899901871305,143,1.9254271,PI3K/AKT inhibitor
Gallic acid,1.9037020553372952,1.8680935388782784,191,1.0461911,Cyclooxygenase inhibitor
Gallic acid (hydrate),2.392831458079252,2.3279770619416635,192,1.6053487,Cyclooxygenase inhibitor
Gefitinib,1.881360325689182,1.8160746872249038,144,0.8563787,EGFR/ERBB inhibitor
Gemcitabine,2.5260811866705017,2.431499421150662,145,1.6327759,DNA synthesis/repair inhibitor
Gemfibrozil,2.6020121696912737,2.3223341127240014,192,1.4906914,unclear
Glasdegib,1.9370275477702472,1.8423330916880587,48,1.0039397,Sonic inhibitor
Glycyrrhizic acid,2.0473851861991315,2.032794617410008,141,1.4192076,unclear
Goserelin (acetate),2.241835686199553,2.1751365451540217,192,1.1216743,unclear
HI-TOPK-032,3.3822633994527114,3.287409444171513,140,2.2401989,unclear
Harringtonine,4.722109944377968,4.350900573080561,142,2.130488,Protein synthesis inhibitor
Hesperidin,2.135980371838456,2.0978619792113533,143,1.2001052,unclear
Hexylresorcinol,2.0907948191291057,2.029714818024453,192,1.3303502,unclear
Homoharringtonine,5.907570862381705,5.409199457216074,187,2.959589,Protein synthesis inhibitor
Hydroxyfasudil,2.660727701020028,2.7124849319032838,143,1.6678507,unclear
Hydroxyurea,1.8401330790762274,2.070380514484342,138,1.3935833,DNA synthesis/repair inhibitor
IQ 1,2.424929594484408,2.398743035780967,141,1.1777127,unclear
Idarubicin (hydrochloride),4.500952814388249,4.051490748308877,190,3.0296078,DNA synthesis/repair inhibitor
Idoxuridine,2.59243460753785,2.609495573937375,144,1.3577268,DNA synthesis/repair inhibitor
Imiquimod (hydrochloride),2.353007383206963,2.314662626183419,142,1.3007647,unclear
Imiquimod (maleate),2.0185946867216913,1.9684100951297705,139,1.1819229,unclear
Indacaterol (maleate),2.350973421869231,2.412822812343327,144,1.0754795,Adrenoceptor agonist
Infigratinib,2.842540541458753,2.740722248514849,144,1.778698,Other TK inhibitor
Ipatasertib,3.9014164338957253,3.6093671199312554,143,1.7583164,PI3K/AKT inhibitor
Irinotecan,2.369189522519681,2.392141093722923,143,1.8393494,DNA synthesis/repair inhibitor
Irinotecan (hydrochloride),2.5540715699959557,2.5050561728673357,191,1.5339527,DNA synthesis/repair inhibitor
Isocorydine,1.9644412984216069,1.911103039214603,191,1.1725165,unclear
Ivabradine (hydrochloride),1.2423999725578736,1.2452760571143118,48,1.1130021,unclear
Ivermectin,1.6529304675397072,1.5886810857476181,142,0.9280174,unclear
Ixazomib,2.5814315803180587,2.552225957502871,141,1.7600708,Proteasome inhibitor
Ixazomib citrate,4.103716207744009,3.623390433149766,142,1.7443562,Proteasome inhibitor
L-Eflornithine (monohydrochloride),2.4341181656303132,2.3635433247205166,143,1.2437217,unclear
L-Thyroxine (sodium salt pentahydrate),2.1073079420584313,2.058367223642175,144,1.2344053,unclear
LB-100,2.009948035051121,2.0441631130347324,144,1.2727273,unclear
LJI308,3.1343539532328935,3.0587742013110595,142,1.7146413,Other MAPK inhibitor
LY-2584702 (tosylate salt),3.9473176978271054,3.3376894237059744,136,2.020672,MTOR inhibitor
LY2090314,2.094054719049436,2.0689397944640304,144,1.1372397,GSK3 inhibitor
Lactate (calcium),2.408254036280872,2.3383024041276728,144,1.868159,unclear
Lapatinib ditosylate,1.9328057103323826,1.9175361790784538,143,1.2618358,EGFR/ERBB inhibitor
Larotrectinib,2.3965129025172622,2.342181931825738,190,1.931737,Other TK inhibitor
Larotrectinib sulfate,2.0017974544938664,1.9651605986878067,48,1.2231408,Other TK inhibitor
Lenalidomide (hemihydrate),2.3764227318665663,2.340687704682646,191,1.2803864,unclear
Levobupivacaine (hydrochloride),2.2692313215981814,2.213113571527068,142,1.2326007,unclear
Lidocaine (hydrochloride),2.9990550018665276,2.8864064819045177,189,1.6944587,unclear
Ligustrazine,2.146701890860448,2.1436835409690875,141,1.4177111,unclear
Lipoic acid,1.4547964129436677,1.428144845049923,192,0.95180297,unclear
Lonafarnib,2.4968231026813097,2.7627399389431746,130,1.4901023,RAS inhibitor
Loperamide (hydrochloride),2.17808228111054,2.1540136319482053,144,1.1280757,unclear
Lopinavir,2.0889607981035025,2.03028571474583,141,1.2940538,unclear
Lucanthone,3.175103375011675,2.5969519767144704,144,1.1005114,unclear
Lumateperone (tosylate),1.5812560003210407,1.4787957125520608,192,0.83132637,unclear
MK-3903,3.3143623831855225,3.2437139967612643,142,1.6685872,unclear
MK-8353,1.7302896555329017,1.7796428793512669,143,0.95460165,Other MAPK inhibitor
ML264,3.339788558712871,3.175926257809387,143,1.8847343,unclear
Macitentan,1.1330447493677498,1.4330059907679995,143,0.97736037,unclear
Malotilate,3.1329905284595214,2.813653841148605,192,1.3833306,unclear
Mebendazole,2.4689822175062126,2.4458357744956256,144,1.6030924,Microtubule inhibitor
Medroxyprogesterone acetate,2.535464380356932,2.5204841697726583,192,1.471746,unclear
Megestrol,2.244474297504488,2.222055728034817,192,1.5285914,unclear
